param_model__C,param_model__gamma,mean_test_score,std_test_score,mean_fit_time
0.1,scale,0.9377145618934251,0.018035401330066425,0.09369587898254395
0.1,0.01,0.9420777052286757,0.014346509073382314,0.08904638290405273
0.1,0.1,0.9341348980971171,0.015686790810568795,0.11809687614440918
1.0,scale,0.9669402274244406,0.015965597957213588,0.0856544017791748
1.0,0.01,0.9690407749147297,0.01628269880928693,0.026510334014892577
1.0,0.1,0.9533230330206756,0.012853369084693056,0.0382023811340332
10.0,scale,0.9670861669558555,0.013638400817014744,0.024190282821655272
10.0,0.01,0.9738878509919948,0.01767667524460028,0.02013673782348633
10.0,0.1,0.9375316134071167,0.023718217533153528,0.03424687385559082
