model,f1_macro,recall_macro,recall_revenue_true,fit_median_s,predict_ms,size_kb,is_pareto
boost,0.8005745884704198,0.7834561076515058,0.612565445026178,0.24429650000820402,13.363200007006526,333.548828125,True
svm_c1,0.7740127455134203,0.7419209243545767,0.518324607329843,6.350953399989521,418.61430001154076,1681.615234375,False
svm_c10,0.7687732114150709,0.7463212203351903,0.5392670157068062,7.661689700005809,429.1536999953678,1771.880859375,False
logistic,0.7347240597240597,0.6941787936501479,0.41361256544502617,0.08366030000615865,6.803700001910329,6.744140625,True
rf_100,0.7121462264150944,0.6642342773012875,0.337696335078534,0.15289189999748487,31.830600011744536,2065.0732421875,False
rf_300,0.7115657547391534,0.6639914409729727,0.337696335078534,0.38801070000045,53.82999998982996,6169.6044921875,False
